Gene	CGC513	BertVogelstein125	SMG127	Comprehensive435
AARS	.	.	.	Candidate driver
AARS2	.	.	.	High Confidence Driver
ABCB1	.	.	.	High Confidence Driver
ABI1	CGC	.	.	.
ABL1	CGC	Oncogene	.	High Confidence Driver
ABL2	CGC	.	.	.
ACSL3	CGC	.	.	.
ACTB	.	.	.	Candidate driver
ACTG1	.	.	.	Candidate driver
ACVR1B	.	TSG	1.00%	High Confidence Driver
ACVR2A	.	.	0.60%	Candidate driver
ADAM10	.	.	.	High Confidence Driver
ADCY1	.	.	.	High Confidence Driver
ADORA2A	.	.	.	High Confidence Driver
CASC5	CGC	.	.	.
MLLT11	CGC	.	.	.
NCKIPSD	CGC	.	.	.
AFF4	CGC	.	.	.
AHCTF1	.	.	.	Candidate driver
AHCYL2	.	.	.	Candidate driver
AHDC1	.	.	.	Candidate driver
AHNAK	.	.	.	Candidate driver
AHNAK2	.	.	.	High Confidence Driver
AJUBA	.	.	0.80%	High Confidence Driver
AKAP9	CGC	.	.	High Confidence Driver
AK9	.	.	.	High Confidence Driver
AKT1	CGC	Oncogene	0.90%	High Confidence Driver
AKT2	CGC	.	.	.
ALDH2	CGC	.	.	.
ALK	CGC	Oncogene	.	.
RNF213	CGC	.	.	.
AMPH	.	.	.	High Confidence Driver
ANAPC1	.	.	.	High Confidence Driver
ANKRD11	.	.	.	Candidate driver
ANKRD12	.	.	.	High Confidence Driver
ANKRD6	.	.	.	Candidate driver
ANXA6	.	.	.	Candidate driver
APAF1	.	.	.	High Confidence Driver
APC	CGC	TSG	7.30%	High Confidence Driver
AKR1B1	.	Oncogene	1.20%	High Confidence Driver
ARAF	.	.	.	Candidate driver
ARHGAP32	.	.	.	High Confidence Driver
ARHGAP35	.	.	2.50%	High Confidence Driver
ARHGEF12	CGC	.	.	.
ARHGEF6	.	.	.	High Confidence Driver
RHOH	CGC	.	.	.
ARID1A	CGC	TSG	5.40%	High Confidence Driver
ARID1B	.	TSG	.	.
ARID2	CGC	TSG	.	High Confidence Driver
ARID5B	.	.	1.60%	High Confidence Driver
ARNT	CGC	.	.	.
ASPM	.	.	.	High Confidence Driver
ASPSCR1	CGC	.	.	.
ASXL1	CGC	TSG	1.30%	High Confidence Driver
GDNF	CGC	.	.	.
ATF7IP	.	.	.	Candidate driver
ATG13	.	.	.	High Confidence Driver
ATIC	CGC	.	.	.
ATM	CGC	TSG	3.30%	High Confidence Driver
ANTXR1	.	.	2.40%	High Confidence Driver
ATRX	CGC	TSG	2.80%	High Confidence Driver
AXIN1	CGC	TSG	.	.
AXIN2	.	.	0.90%	High Confidence Driver
B2M	.	TSG	.	High Confidence Driver
B4GALT3	.	.	0.20%	.
RNF2	CGC	TSG	2.00%	High Confidence Driver
BARD1	.	.	.	High Confidence Driver
BAZ1B	.	.	.	Candidate driver
BAZ2A	.	.	.	Candidate driver
BCL10	CGC	.	.	.
BCL11A	CGC	.	.	.
BCL11B	CGC	.	.	.
BCL2	CGC	Oncogene	.	.
BCL3	CGC	.	.	.
BCL6	CGC	.	.	.
BCL6	CGC	.	.	.
BCL7A	CGC	.	.	.
BCL9	CGC	.	.	.
BCL9L	.	.	.	Candidate driver
BCLAF1	.	.	.	High Confidence Driver
BCOR	CGC	TSG	.	High Confidence Driver
BCR	CGC	.	.	.
FLCN	CGC	.	.	.
BIRC3	CGC	.	.	.
BLM	CGC	.	.	High Confidence Driver
BMPR1A	CGC	.	.	.
BRAF	CGC	Oncogene	1.50%	High Confidence Driver
BRCA1	CGC	TSG	1.90%	High Confidence Driver
BRCA2	CGC	TSG	2.70%	High Confidence Driver
BRD3	CGC	.	.	.
BRD4	CGC	.	.	.
MRPL36	CGC	.	.	.
BTG1	CGC	.	.	.
BUB1B	CGC	.	.	High Confidence Driver
C12orf9	CGC	.	.	.
HMGN2P46	CGC	.	.	.
NUTM1	CGC	.	.	.
RMI2	CGC	.	.	.
C2orf44	CGC	.	.	.
DFFB	.	.	.	High Confidence Driver
CAMTA1	CGC	.	.	.
CANT1	CGC	.	.	.
CARD11	CGC	Oncogene	.	.
CARM1	.	.	.	High Confidence Driver
CARS	CGC	.	.	.
CASP8	.	TSG	.	High Confidence Driver
ERC2	.	.	.	High Confidence Driver
